"","logFC","logCPM","PValue","FDR"
"ENSMUSG00000051378",-3.58399463939912,7.93574501672036,8.04100950218801e-70,1.04854763908532e-67
"ENSMUSG00000000751",-2.26890225518877,9.23353346621372,4.63295907008486e-69,5.03448218949221e-67
"ENSMUSG00000025574",-2.82981633613319,9.55516639516544,1.26138846896933e-66,1.26526966425847e-64
"ENSMUSG00000020739",-2.8116355076735,9.149290319818,5.21302685013308e-66,4.85556215183824e-64
"ENSMUSG00000018921",-1.86252122630596,8.9420527482727,2.81287155827901e-61,2.2924903199974e-59
"ENSMUSG00000020534",-2.65368616660027,9.95056627718038,8.32126553760995e-61,6.38290015355493e-59
"ENSMUSG00000078249",-2.85947553984763,9.92827196335823,1.62729454775995e-56,8.84163370949571e-55
"ENSMUSG00000020899",-2.23974492879888,9.02185281271863,3.06555797021621e-56,1.59899503726477e-54
"ENSMUSG00000040463",-2.23479263738665,10.8498446557955,2.80517979169019e-51,1.30641230298714e-49
"ENSMUSG00000057113",-2.13639398311285,12.2126056259759,2.44610358311069e-49,1.06323969079211e-47
